class,instances,unique_frames,train_instances,train_frames,val_instances,val_frames,unknown_instances,median_width_px,median_height_px,median_area_px2,median_area_pct,min_area_px2,max_area_px2
large_launcher,25,25,20,20,5,5,0,149.0,110.0,16092.0,0.19401041666666666,10830.0,18419.0
small_launcher,25,25,20,20,5,5,0,22.0,30.0,660.0,0.007957175925925927,600.0,696.0
ta-ta,25,25,20,20,5,5,0,32.0,17.0,544.0,0.006558641975308642,490.0,589.0
tank,25,25,20,20,5,5,0,50.0,47.0,2350.0,0.028332368827160493,598.0,2808.0
spacecraft,23,23,20,20,3,3,0,44.0,49.0,2156.0,0.025993441358024692,392.0,2401.0
jet_plane,22,22,17,17,5,5,0,77.0,81.0,6237.0,0.0751953125,1944.0,7387.0
small_tower,20,20,20,20,0,0,0,57.5,59.0,3363.0,0.04054542824074074,1323.0,3534.0
helicopter,19,19,19,19,0,0,0,116.0,94.0,10904.0,0.1314621913580247,4750.0,12648.0
large_tower,19,19,14,14,5,5,0,62.0,64.0,4002.0,0.048249421296296294,1456.0,4095.0
jammer,13,13,13,13,0,0,0,33.0,43.0,1408.0,0.016975308641975308,980.0,1496.0
condor,11,11,11,11,0,0,0,173.0,166.0,28386.0,0.3422309027777778,7059.0,31150.0
medium_launcher,10,10,6,6,4,4,0,47.0,45.5,2091.5,0.02521580825617284,414.0,2208.0
small_plane,9,9,9,9,0,0,0,43.0,50.0,2150.0,0.025921103395061727,1968.0,2288.0
hangar,6,6,1,1,5,5,0,185.0,119.0,22024.0,0.26552854938271603,1092.0,24570.0
medium_plane,5,5,0,0,5,5,0,56.0,49.0,2744.0,0.03308256172839506,1760.0,2793.0
mine_roller,2,2,2,2,0,0,0,53.0,60.0,3180.0,0.03833912037037037,3180.0,3180.0
