seed,horizon,complete,official_score,survival_time,horizon_reached,final_population,peak_population,minimum_population,mean_population,births,deaths,predator_related_deaths,fruit_score_contribution,mean_energy,median_energy,official_reward,training_reward,environment_ticks,decision_steps,episode_wall_time
18,300.0,1,30.81120000000017,30.700000000000166,0,0,10,0,5.194805194805195,5,10,,,35.47842758104913,32.67648775613331,30.81120000000017,25.81120000000017,307,62,3.4530000000013388
20,300.0,1,30.831800000000168,30.700000000000166,0,0,10,0,4.9935064935064934,5,10,,,36.03311296293843,32.94842272091631,30.831800000000168,25.831800000000168,307,62,3.5780000000013388
17,300.0,1,36.71480000000025,36.50000000000025,0,0,10,0,4.912568306010929,6,11,,,38.43268509087813,34.67983710663765,36.71480000000025,31.714800000000253,365,73,6.796999999998661
22,300.0,1,41.57100000000032,41.30000000000032,0,0,10,0,4.654589371980676,5,10,,,37.681184444594386,35.149643967082916,41.57100000000032,36.57100000000032,413,83,10.093999999997322
26,300.0,1,24.789600000000085,24.70000000000008,0,0,10,0,6.508064516129032,5,10,,,36.056784599696066,32.017151125876964,24.789600000000085,19.789600000000085,247,50,7.984000000000378
23,300.0,1,20.38120000000002,20.30000000000002,0,0,10,0,7.480392156862745,5,10,,,34.9223245353355,33.15331691896131,20.38120000000002,15.381200000000021,203,41,7.577999999997701
24,300.0,1,32.13200000000019,31.900000000000183,0,0,10,0,5.940625,6,11,,,37.01551965885428,35.5925855409515,32.13200000000019,27.13200000000019,319,64,14.09400000000096
21,300.0,1,207.05419999999265,205.29999999999262,0,0,10,0,2.289678675754625,18,23,,,44.948149480695264,42.688647052539594,207.05419999999265,202.05419999999265,2053,411,74.01499999999942
29,300.0,1,197.41139999999325,192.49999999999335,0,0,13,0,4.810488058151609,42,47,,,47.3193437605452,45.245682066941534,197.41139999999325,192.41139999999325,1925,385,71.88999999999942
28,300.0,1,219.3787999999924,211.59999999999226,0,0,15,0,6.43221539914974,56,61,,,48.57901656835915,46.19084854448165,219.3787999999924,214.3787999999924,2116,424,82.35900000000038
19,300.0,1,296.81223616695024,299.9999999999997,1,1,34,1,7.052315894701766,118,122,,,48.936971936031114,46.557085988636935,296.81223616695024,301.81223616695024,3000,600,117.60900000000038
32,300.0,1,273.7675629555607,259.0999999999904,0,0,35,0,9.506172839506172,122,127,,,45.50522901061195,42.24583006809749,273.7675629555607,268.7675629555607,2591,519,111.13999999999942
30,300.0,1,317.6822708615364,299.9999999999997,1,7,50,1,15.293568810396534,208,206,,,47.65815942577459,46.26072425414452,317.6822708615364,322.6822708615364,3000,600,136.28099999999904
27,300.0,1,174.9909697534872,168.09999999999474,0,0,57,0,14.158739595719382,107,112,,,48.189382943831134,47.25897458804038,174.9909697534872,169.9909697534872,1681,337,91.35900000000038
36,300.0,1,42.32720000000034,42.00000000000033,0,0,10,0,4.985748218527316,5,10,,,42.44569560472416,40.204746395522534,42.32720000000034,37.32720000000034,420,84,19.704000000001543
33,300.0,1,76.38439999999994,75.49999999999999,0,0,10,0,3.882275132275132,11,16,,,45.9199869359116,43.917274129716546,76.38439999999994,71.38439999999994,755,151,33.75
38,300.0,1,150.18979999999593,147.4999999999959,0,0,12,0,4.224932249322493,21,26,,,43.77039459014862,41.53222888812947,150.18979999999593,145.18979999999593,1475,295,81.53099999999904
34,300.0,1,233.40197621897568,234.49999999999096,0,0,13,0,7.110400682011935,88,93,,,49.86308960793799,49.19411490261669,233.40197621897568,228.40197621897568,2345,469,125.78099999999904
42,300.0,1,86.14279999999938,85.39999999999942,0,0,10,0,3.504093567251462,7,12,,,40.26979401225565,38.88985201009884,86.14279999999938,81.14279999999938,854,171,42.5
25,300.0,1,198.49339999999307,196.39999999999313,0,0,10,0,2.789821882951654,22,27,,,46.24913337717757,44.87848838202939,198.49339999999307,193.49339999999307,1964,393,111.5
44,300.0,1,40.934800000000315,40.60000000000031,0,0,11,0,5.341523341523342,7,12,,,37.73634678553611,32.37890664991198,40.934800000000315,35.934800000000315,406,82,21.92199999999866
31,300.0,1,27.747400000000127,27.50000000000012,0,0,11,0,6.829710144927536,7,12,,,37.98419954935957,35.00274687407267,27.747400000000127,22.747400000000127,275,55,10.734000000000378
35,300.0,1,336.52460683167567,299.9999999999997,1,27,67,5,27.98267244251916,383,361,,,47.37598250992645,46.0346554320572,336.52460683167567,341.52460683167567,3000,600,164.75
41,300.0,1,24.990000000000087,24.900000000000084,0,0,10,0,5.628,5,10,,,35.96576442168343,31.02842645533387,24.990000000000087,19.990000000000087,249,50,4.296999999998661
