training_step,curriculum_stage,horizon,mode_entropy,spawn_probability,spawn_action_frequency,mode_explore_fraction,mode_explore_team_fraction,mode_forage_fraction,mode_forage_team_fraction,mode_camp_fraction,mode_camp_team_fraction,mode_evade_fraction,mode_evade_team_fraction,mode_regroup_fraction,mode_regroup_team_fraction,mode_conserve_fraction,mode_conserve_team_fraction,movement_intensity_mean,movement_intensity_std,movement_intensity_min,movement_intensity_max,steering_residual_mean,steering_residual_std,steering_residual_min,steering_residual_max
1,0,300.0,1.791753896790562,0.4993860050204386,0.5060991644859314,0.17078766250318633,0.1707723629348771,0.16365026765230692,0.15832248267142826,0.15957175630894724,0.1664429355563777,0.17180729033902625,0.17813016681202803,0.162375732857507,0.16237805887967124,0.17180729033902625,0.16395399314561765,0.4972064793109894,0.2356700450181961,0.0020876722410321236,0.9984174966812134,0.007829639129340649,0.4786345362663269,-0.9959161877632141,0.9991799592971802
2,0,300.0,1.781719594415328,0.4969977894677664,0.4953371584415436,0.1752002786485545,0.17896925808268338,0.19087425983977707,0.19120626274188018,0.15168930686172066,0.1533457755884711,0.1388018112156043,0.12849834895968437,0.14576802507836992,0.14796055497298555,0.19766631835597354,0.20001979965429542,0.4991782605648041,0.23890511691570282,0.004035456571727991,0.9927393794059753,0.014038536697626114,0.48406311869621277,-0.993767499923706,0.9926177263259888
3,0,300.0,1.7812112433047216,0.5047594440997499,0.5046871304512024,0.18410808335241585,0.18553136046616134,0.1789558049003893,0.1821207808539491,0.15972063201282344,0.1627923023214801,0.1396839935882757,0.13419913274360673,0.1474696588046714,0.1451729469685068,0.19006182734142432,0.19018347664629598,0.5052298903465271,0.23574340343475342,0.0035932736936956644,0.9944157004356384,0.02086990512907505,0.47711312770843506,-0.9903109669685364,0.9935450553894043
4,0,300.0,1.7726554825476382,0.4865799516897618,0.4886854290962219,0.19384823390231537,0.20156479596106766,0.18235592360993746,0.17385442519019412,0.14331586952847727,0.13723066354439534,0.1284434679736353,0.1370016558156658,0.1531181341896231,0.15296211908220625,0.1989183707960115,0.19738634040647085,0.5038384795188904,0.2409193515777588,0.008324231952428818,0.9952753186225891,0.034558914601802826,0.4826757609844208,-0.9898626208305359,0.9956821203231812
5,0,300.0,1.7609901570969417,0.49618364088606126,0.48976147174835205,0.1694915254237288,0.1737050889763897,0.1962359674224081,0.19047402838661717,0.15166189742460928,0.15114702754020387,0.12106537530266344,0.12001189372297667,0.14979088707902266,0.15555321003100953,0.21175434734756768,0.20910875134280307,0.5065510869026184,0.23749007284641266,0.0014070116449147463,0.9972125291824341,0.017789581790566444,0.4704103469848633,-0.9994266629219055,0.994876503944397
6,0,300.0,1.7498555486204515,0.5133549835330556,0.512010395526886,0.15933425209371355,0.16589653211130712,0.20693310717693206,0.21332133276636134,0.14152443549242022,0.15159710496537826,0.10675288879465705,0.09735710513936019,0.15286759249443443,0.15583975006846562,0.2325877239478427,0.21598817494912745,0.504660964012146,0.2331206351518631,0.005147293675690889,0.9975494742393494,0.007620889227837324,0.4737131893634796,-0.9797106981277466,0.9978522062301636
7,0,300.0,1.7446456078842756,0.4938415942008732,0.4875686466693878,0.1680565371024735,0.1754230099975736,0.20791519434628974,0.1871416622264965,0.1478445229681979,0.15699268450869444,0.10402826855123674,0.09974523603193561,0.1534982332155477,0.16120534342853712,0.21865724381625443,0.21949206380676275,0.5081732869148254,0.23814965784549713,0.0031358497217297554,0.9980083107948303,0.004272375255823135,0.4796895682811737,-0.9933915734291077,0.9950590133666992
8,0,300.0,1.7313812710470102,0.4901299695742491,0.4945216774940491,0.16786801217363448,0.17613610075692804,0.2189652410699984,0.2232924078298303,0.13455069678039405,0.1445997463188721,0.10491750760852155,0.102609469108269,0.15473330129745314,0.14154472916057043,0.2189652410699984,0.21181754682553017,0.5060058236122131,0.23407407104969025,0.008390948176383972,0.997131884098053,0.01817929372191429,0.47643017768859863,-0.9951592087745667,0.9967762231826782
9,0,300.0,1.7150721817586505,0.4778689556035758,0.47792819142341614,0.1708484964566175,0.16696601875023523,0.22447806933537637,0.22699515994833733,0.16088871863627657,0.17774480647848578,0.09155334227159548,0.08845583476712225,0.1557172955372534,0.14914612851637904,0.19651407776288068,0.19069205153944035,0.5154008269309998,0.237838476896286,0.001514141564257443,0.9974452257156372,0.008483593352138996,0.4806326627731323,-0.9874027967453003,0.9924024343490601
10,0,300.0,1.7137079686862204,0.4810808436385071,0.48304107785224915,0.16515950766139162,0.16722626591442566,0.231600100477267,0.24181389074787,0.13539311730720924,0.14187603571112567,0.08955036423009294,0.08434227478511595,0.1627731725697061,0.16118998647742935,0.2155237377543331,0.20355154636403336,0.5102654695510864,0.23882348835468292,0.0073807863518595695,0.995677649974823,-0.015395299531519413,0.48213791847229004,-0.9968568682670593,0.9988149404525757
