seed,horizon,complete,official_score,survival_time,horizon_reached,final_population,peak_population,minimum_population,mean_population,births,deaths,predator_related_deaths,fruit_score_contribution,mean_energy,median_energy,official_reward,training_reward,environment_ticks,decision_steps,episode_wall_time
18,300.0,1,30.81120000000017,30.700000000000166,0,0,10,0,5.194805194805195,5,10,,,35.47842758104913,32.67648775613331,30.81120000000017,25.81120000000017,307,62,3.7659999999996217
20,300.0,1,30.831800000000168,30.700000000000166,0,0,10,0,4.9935064935064934,5,10,,,36.03311296293843,32.94842272091631,30.831800000000168,25.831800000000168,307,62,3.812999999998283
17,300.0,1,36.71480000000025,36.50000000000025,0,0,10,0,4.912568306010929,6,11,,,38.43268509087813,34.67983710663765,36.71480000000025,31.714800000000253,365,73,7.171999999998661
22,300.0,1,41.57100000000032,41.30000000000032,0,0,10,0,4.654589371980676,5,10,,,37.681184444594386,35.149643967082916,41.57100000000032,36.57100000000032,413,83,10.375
26,300.0,1,24.789600000000085,24.70000000000008,0,0,10,0,6.508064516129032,5,10,,,36.056784599696066,32.017151125876964,24.789600000000085,19.789600000000085,247,50,7.90599999999904
23,300.0,1,20.38120000000002,20.30000000000002,0,0,10,0,7.480392156862745,5,10,,,34.9223245353355,33.15331691896131,20.38120000000002,15.381200000000021,203,41,7.5
24,300.0,1,32.13200000000019,31.900000000000183,0,0,10,0,5.940625,6,11,,,37.01551965885428,35.5925855409515,32.13200000000019,27.13200000000019,319,64,14.014999999999418
21,300.0,1,207.05419999999265,205.29999999999262,0,0,10,0,2.289678675754625,18,23,,,44.948149480695264,42.688647052539594,207.05419999999265,202.05419999999265,2053,411,74.7029999999977
29,300.0,1,197.41139999999325,192.49999999999335,0,0,13,0,4.810488058151609,42,47,,,47.3193437605452,45.245682066941534,197.41139999999325,192.41139999999325,1925,385,72.57900000000154
28,300.0,1,219.3787999999924,211.59999999999226,0,0,15,0,6.43221539914974,56,61,,,48.57901656835915,46.19084854448165,219.3787999999924,214.3787999999924,2116,424,83.07800000000134
19,300.0,1,297.4212361669502,299.9999999999997,1,5,34,1,7.232922359213595,122,122,,,49.43143283334296,47.38472829769846,297.4212361669502,302.4212361669502,3000,600,116.82800000000134
34,300.0,1,71.24380000000022,70.20000000000029,0,0,10,0,4.871977240398293,9,14,,,43.72685796699697,42.57548719430152,71.24380000000022,66.24380000000022,702,141,30.09400000000096
32,300.0,1,292.06354829067664,276.79999999999444,0,0,35,0,9.091368725171542,120,125,,,45.44925257310331,42.27511904252661,292.06354829067664,287.06354829067664,2768,554,117.14099999999962
25,300.0,1,43.048200000000335,42.70000000000034,0,0,10,0,4.817757009345795,6,11,,,38.11698649847256,35.94139649411656,43.048200000000335,38.048200000000335,427,86,20.79699999999866
30,300.0,1,321.9665887211831,299.9999999999997,1,14,50,4,16.255914695101634,219,210,,,47.27480664307797,46.02955406545442,321.9665887211831,326.9665887211831,3000,600,127.61000000000058
40,300.0,1,43.350053744051664,44.000000000000355,0,0,10,0,5.081632653061225,8,13,,,43.72141214547608,40.88654583451286,43.350053744051664,38.350053744051664,440,88,23.5
38,300.0,1,41.888000000000325,41.60000000000032,0,0,10,0,4.817745803357314,5,10,,,35.42752213136006,33.40679033825902,41.888000000000325,36.888000000000325,416,84,23.15599999999904
31,300.0,1,36.71560000000025,36.50000000000025,0,0,10,0,5.14207650273224,5,10,,,38.386909344233196,37.09304739131818,36.71560000000025,31.71560000000025,365,73,21.0470000000023
27,300.0,1,308.4832801708495,299.9999999999997,1,6,49,1,14.179606797734088,198,197,,,49.638329130986556,48.26125704689763,308.4832801708495,313.4832801708495,3000,600,142.76599999999962
35,300.0,1,295.63635243310216,299.9999999999997,1,13,33,3,12.488503832055981,180,172,,,51.548342891584056,51.53759308359739,295.63635243310216,300.63635243310216,3000,600,148.93800000000192
36,300.0,1,201.56739999999354,190.59999999999346,0,0,25,0,10.846355532249607,91,96,,,45.85960654659279,44.618980514236725,201.56739999999354,196.56739999999354,1906,382,94.81300000000192
41,300.0,1,24.093600000000077,24.00000000000007,0,0,10,0,6.087136929460581,5,10,,,36.57781745232597,32.1861419555718,24.093600000000077,19.093600000000077,240,48,8.170999999998457
42,300.0,1,26.298800000000107,26.200000000000102,0,0,10,0,6.083650190114068,5,10,,,37.7778254971044,35.954825664251885,26.298800000000107,21.298800000000107,262,53,8.7970000000023
47,300.0,1,23.306800000000063,23.20000000000006,0,0,10,0,6.918454935622318,5,10,,,37.058511671009455,33.33434707124092,23.306800000000063,18.306800000000063,232,47,9.125
33,300.0,1,105.43519999999833,103.99999999999837,0,0,10,0,4.062439961575408,10,15,,,45.377601187722355,42.96357035478068,105.43519999999833,100.43519999999833,1040,208,49.67199999999866
53,300.0,1,27.675000000000125,27.600000000000122,0,0,9,0,5.054151624548736,5,10,,,37.31417148664529,33.64156318956768,27.675000000000125,22.675000000000125,276,56,9.343999999997322
46,300.0,1,314.66252766578805,299.4999999999996,0,0,47,0,15.297062750333778,215,220,,,48.26126712390615,47.01099438569801,314.66252766578805,309.66252766578805,2995,599,132.96900000000096
44,300.0,1,311.83405811261696,299.9999999999997,1,7,43,5,16.334555148283904,215,213,,,47.95587903528276,47.1068400359953,311.83405811261696,316.83405811261696,3000,600,132.64099999999962
59,300.0,1,51.639400000000464,50.90000000000045,0,0,10,0,5.3,10,15,,,41.82320613131904,40.55713671499742,51.639400000000464,46.639400000000464,509,102,17.15599999999904
37,300.0,1,315.79564501175423,299.9999999999997,1,1,48,1,13.595801399533489,194,198,,,48.84766238474267,48.72295870868574,315.79564501175423,320.79564501175423,3000,600,135.25
65,300.0,1,21.78700000000004,21.70000000000004,0,0,10,0,7.009174311926605,5,10,,,33.445346637462414,28.903878893864096,21.78700000000004,16.78700000000004,217,44,8.375
52,300.0,1,35.30680000000023,35.20000000000023,0,0,10,0,4.104815864022663,6,11,,,38.90301063332936,37.22015931017927,35.30680000000023,30.30680000000023,352,71,19.764999999999418
39,300.0,1,129.73882559173515,128.299999999997,0,0,10,0,4.276479750778816,23,28,,,46.81191637499089,45.741050297637706,129.73882559173515,124.73882559173515,1283,257,50.29699999999866
71,300.0,1,62.55360000000062,61.80000000000061,0,0,11,0,4.447495961227787,10,15,,,44.471275619856335,43.24096494144855,62.55360000000062,57.55360000000062,618,124,21.4529999999977
45,300.0,1,24.577600000000082,24.500000000000078,0,0,10,0,6.178861788617886,5,10,,,35.214163299700694,31.37168679603389,24.577600000000082,19.577600000000082,245,49,8.53099999999904
77,300.0,1,29.259800000000148,29.100000000000144,0,0,10,0,5.739726027397261,5,10,,,40.03685047475737,36.65259519472855,29.259800000000148,24.259800000000148,291,59,11.4529999999977
51,300.0,1,27.41760000000012,27.300000000000118,0,0,10,0,6.1678832116788325,5,10,,,34.81942033322771,32.84340181696706,27.41760000000012,22.41760000000012,273,55,10.860000000000582
57,300.0,1,60.83200000000059,60.200000000000585,0,0,10,0,3.8623548922056385,9,14,,,43.18110654324208,38.92004958568962,60.83200000000059,55.83200000000059,602,121,22.43699999999808
48,300.0,1,313.63808808577573,299.9999999999997,1,5,24,1,11.711096301232923,172,172,,,50.3589768612873,49.42931985950414,313.63808808577573,318.63808808577573,3000,600,123.48500000000058
